staircase.thisTrialN,tilt
0,-10
1,-8
2,-6
3,4
4,-2
5,1
6,-2
7,2
8,-2
9,1
10,1
11,1
12,1
13,1
14,-1
15,1
16,1
17,1
18,-1
19,1.5
20,-1.5
21,1.5
22,-1
23,1
24,1
25,1.5
26,-1.5
27,1.5
28,-1
29,1.5
30,-1.5
31,1.5
32,1
33,-1
34,-1.5
35,1.5
36,1.5
37,-1
38,-1
39,1
40,-1.5
41,-1.5
42,1.5
43,1
44,-1
45,1
46,1
47,1.5
48,2
49,2.5
50,-3
51,3
52,3
53,-3.5
54,-4
55,-4
56,-4
57,3.5
58,4
59,-4
60,-4
61,-3.5
62,-3.5
63,-3.5
64,3
65,3.5
66,3.5
67,-3.5
68,-3
69,3
70,3
71,2.5
72,-2.5
73,-2.5
74,-3
75,3
76,-3
77,-2.5
78,2.5
79,-2.5
80,-2
81,2
82,2
83,-2.5
84,3
85,3
86,-3
87,2.5
88,2.5
89,2.5
90,2
91,-2.5
92,-2.5
93,2.5
94,-2
95,-2
96,-2
97,2.5
98,-2.5
99,-2.5
